pr_id,pr_number,title,body,state,created_at,updated_at,closed_at,merged_at,author,draft,html_url
4510794823,335918,Add sandbox policy reports to Copilot agent sessions,"## Summary

Add `/sandbox-policy` to Copilot agent-host sessions. The VS Code command invokes the SDK's existing `/sandbox policy` command and presents its effective policy as a persisted Markdown report, without starting a model turn or changing sandbox enforcement.

## User experience

- Offer `/sandbox-policy` in slash-command completion while keeping native `/sandbox` subcommands hidden.
- Show an **Open Sandbox Policy** link in the response that opens the formatted report in Markdown preview.
- Use normal theme-aware chat link colors, including hover and active states.
- Support mouse, Enter, and Space activation, with accessible-help guidance.
- Save a unique report for each invocation so earlier links continue to show their original snapshots.

## Implementation

- Introduce optional host-side `getInvocation` and `getOutput` hooks on resolved slash commands, separate from SDK catalog metadata. Omitted hooks or hooks returning `undefined` preserve the existing SDK invocation and output behavior.
- Support structured text and link output with optional Markdown and preview flags. Keep command lifecycle, mode handling, and runtime-settings invalidation in the session.
- Keep sandbox-specific argument validation, SDK mapping, policy formatting, and report persistence in `CopilotSandboxPolicyDisplay`.
- Strip ANSI styling, preserve SDK Markdown, format recognized terminal policy reports, and safely fence unrecognized plain text. Propagate invocation and file-write failures instead of emitting broken links.
- Preserve preview metadata across local and remote Agent Host URI rewriting without passing it to filesystem providers.
- Extract a reusable single-anchor rendering helper to avoid a second anchor scan. Repeated decoration does not register duplicate widgets or listeners.
- Reuse the shared SDK command type in completion handling.

## Compatibility

- Existing commands retain their default invocation and rendering when no custom behavior applies.
- Preserve native sandbox aliases and raw SDK input; do not format unrelated sandbox subcommands or client commands as policy reports.
- Reserve the host alias against runtime name collisions and keep it discoverable when SDK command discovery fails.
- No SDK dependency changes, new permissions, or sandbox-policy enforcement changes.

## Validation

- **803 targeted tests passed** across Copilot session, command-handler, completion, Markdown rendering, inline-anchor, URI adapter, and accessibility-help suites.
- Regression coverage includes local/remote preview links, rich links enabled/disabled, keyboard activation, report formatting and persistence, error propagation, optional-hook fallbacks, and duplicate-widget prevention.
- A 1,001-link regression test verifies a single anchor scan with 1,000 ordinary links and one preview link.
- Core typecheck and transpile watchers completed with zero errors.
- ESLint passed for changed refactor files; CSS lint passed with only pre-existing design-token suggestions.
- Dark and light Component Explorer fixtures render without errors; preview-link colors were checked against regular chat links.
- `git diff --check` passed.",open,2026-09-12T01:01:56Z,2026-09-12T01:01:57Z,,,dileepyavan,False,https://github.com/microsoft/vscode/pull/335918
4510713220,335917,deprogram README.md,"bg says lgtm
",open,2026-09-12T00:41:06Z,2026-09-12T00:53:39Z,,,breck7,False,https://github.com/microsoft/vscode/pull/335917
4510494129,335913,sessions: add background action to chat context menu,"Fixes #335684

## Summary

- classify transcript dead space in the shared chat context menu
- add the existing **Set Background...** command to that menu in the Agents window
- preserve the existing Copy, Copy All, Copy Final Response, and New Chat actions
- remove the competing Sessions-only context menu listener

## Validation

- `./scripts/test.sh --run src/vs/workbench/contrib/chat/test/browser/widget/chatListWidget.test.ts --grep \""identifies transcript background context menu targets\""`
- `npm run eslint -- src/vs/workbench/contrib/chat/common/actions/chatContextKeys.ts src/vs/workbench/contrib/chat/browser/widget/chatListWidget.ts src/vs/workbench/contrib/chat/test/browser/widget/chatListWidget.test.ts src/vs/sessions/contrib/chat/browser/chat.contribution.ts`
- `npm run hygiene`
- `/launch`: right-clicked a 246px completed-response gutter and verified Copy, Copy All, Copy Final Response, New Chat, and Set Background all appear; right-clicking response content preserves the original menu without Set Background

`npm run compile` reached the main source typecheck but is currently blocked by three unrelated Agent Host/Copilot SDK type errors involving `clientInfo` and `autoTier` in `copilotAgent.ts`, `copilotSessionLauncher.ts`, and `copilotAgent.test.ts`.",closed,2026-09-11T23:40:23Z,2026-09-12T00:38:21Z,2026-09-12T00:37:12Z,2026-09-12T00:37:12Z,TylerLeonhardt,False,https://github.com/microsoft/vscode/pull/335913
4510492903,335912,agentHost: capitalize Agent in SDK download progress,"## Summary
- capitalize ""Agent"" in the shared Claude and Codex SDK download progress title
- capitalize ""Agent"" in the Codex account downloading status
- update targeted progress and account-status test expectations

Fixes #335645

## Validation
- `npm run eslint --` on the 8 changed TypeScript files
- `scripts\test.bat` for the 4 affected unit-test files (845 passing, 16 pending)
- pre-commit hygiene on all 8 changed files",closed,2026-09-11T23:40:04Z,2026-09-12T00:12:49Z,2026-09-12T00:11:47Z,2026-09-12T00:11:47Z,TylerLeonhardt,False,https://github.com/microsoft/vscode/pull/335912
4510486295,335911,sessions: keep /btw origins opaque over chat backgrounds,"Fixes #335688

## Summary
- composite the side-chat origin tint over the opaque session surface when an Agents chat background is active
- preserve existing styling for chats without backgrounds and for transparent delegation origins
- add a focused computed-style regression test for the background-aware surface

## Validation
- `npm run hygiene`
- `./scripts/test.sh --run src/vs/sessions/contrib/chat/test/browser/chatView.test.ts --grep ""keeps the side-chat request origin opaque over the chat background""`
- launch-skill verification with the Codicons background and a live `/btw say hi` flow, including normal and hover states
- `npm run compile` was blocked locally by stale installed `@github/copilot` packages; restoring the lockfile versions was unavailable because npm registry requests failed with `ENOTCONN`",closed,2026-09-11T23:38:21Z,2026-09-12T00:09:37Z,2026-09-12T00:08:48Z,2026-09-12T00:08:48Z,TylerLeonhardt,False,https://github.com/microsoft/vscode/pull/335911
4510382453,335910,Add setup-feed script for npm registry configuration,"Introduce a script to configure npm registry settings for Azure Artifacts, facilitating easier package management. Include a reauthentication command for the feed. Test by running the `setup-feed` script to ensure proper registry setup.

",open,2026-09-11T23:11:57Z,2026-09-12T00:38:06Z,,,sbatten,False,https://github.com/microsoft/vscode/pull/335910
4510312715,335909,sessions: Open model picker from new chat shortcut,"Fixes #335775.

The model picker shortcut now opens the picker owned by the focused new-chat composer in the Agents window. Previously, the shared shortcut routed through the standard chat widget service, where the new-chat composer is not registered, so pressing Ctrl/Cmd+Alt+. did nothing.

The shortcut is scoped to focused new-chat inputs with AI features enabled. Existing-session chat inputs continue to use the shared chat command. Accessibility help now advertises the new-chat shortcut, with regression coverage for its registration, focus gating, and help content.",open,2026-09-11T22:56:43Z,2026-09-12T00:47:58Z,,,amunger,True,https://github.com/microsoft/vscode/pull/335909
4510101315,335905,agentHost: isolate CopilotAgent tests from ambient COPILOT_HOME,"Fixes #335887

## Problem

Three `CopilotAgent` tests fail on a clean checkout when `COPILOT_HOME` is set:

| Test | Line |
| --- | --- |
| `resolves state files from the default and peer chat SDK backings` | 1323 |
| `a marker written after an initial read miss is picked up without a restart` | 8549 |
| `collectDebugLogs includes persisted events for a closed session` | 11419 |

They inject `userHome: URI.file('/home/test')`, but `getCopilotHomePath` prefers the ambient variable, so session-state lookups resolve outside the test sandbox and return `undefined`. CI never sets `COPILOT_HOME`, so CI stays green.

## Change

Clear `COPILOT_HOME` in a suite-level `setup` and restore it in `teardown`, so every test under `suite('CopilotAgent')` sees the injected home. This is the same save/delete/restore already used by one test in this file and six in `copilotAgentSession.test.ts`; the per-test copy is now redundant and removed.

Test-only. No production code changes.

## Validation

`.\scripts\test.bat --runGlob ""**/agentHost/test/node/copilotAgent.test.js""`

| `COPILOT_HOME` | Before | After |
| --- | --- | --- |
| unset | 378 passing, 0 failing | 378 passing, 0 failing |
| set to real `~/.copilot` | 375 passing, **3 failing** | 378 passing, 0 failing |
| set to a nonexistent path | 375 passing, **3 failing** | 378 passing, 0 failing |

Hygiene and eslint clean on the changed file.",open,2026-09-11T22:12:12Z,2026-09-11T23:15:39Z,,,kondv,False,https://github.com/microsoft/vscode/pull/335905
4510093920,335902,[wip] Add local canvases to the Agents Window,"## Summary

Add a default-off local canvas development preview to the Agents Window, backed by approved Copilot SDK extension packages and source-resolved native browser surfaces.

This is a work-in-progress integration PR, not a request to enable the feature generally or publish the companion SDK/runtime changes.

### Included

- Canonical AHP canvas state and operations, generation/revision guards, bounded operation deduplication, and exact owning-chat routing.
- Inert package preparation, immutable reviewed snapshots, explicit revision/workspace or shared-host approval, revocation, and document data kept outside code.
- Canvas-first session retention, provider lifecycle/disposal fixes, explicit restart versus page reload, and stable restoration without persisting live endpoint authority.
- Provider-neutral Sessions controls, authoring starter, visible/removable request-frozen canvas context, automatic active-chat reveal, and inert hidden/restored instances.
- Native Integrated Browser app policy, semantic themes, permissions/navigation controls and ownership/lifecycle handling.
- Genuine joined-SDK user-message projection so canvas-originated requests appear in chat with normal tool confirmation and cancellation. The host does not resend the prompt.
- Focused unit/integration coverage and isolated developer launch/runbook support.

The five JavaScript allowlist additions are executable extension/browser fixtures and the no-build authoring starter; those files intentionally run as delivered rather than requiring TypeScript transpilation. The allowlist still requires normal CODEOWNERS review.

## Validation

- Latest affected Copilot live-session/history selection: **492 passing**, with targeted typecheck and uncached lint clean.
- Automatic presentation/facade selection: **99 passing**, plus actual native model-driven reveal and hidden-tab refresh checks.
- Earlier scoped native/lifecycle/load qualification is documented in the implementation runbooks. Counts from overlapping runs are not added together.
- Real macOS arm64 native chess exercised actual model actions, explicit per-call approval, denial, cancellation, a permission wait beyond 120 seconds, reload, and provider restart while preserving data and the complete approved snapshot.
- The standalone repaired chess ZIP is a separate local deliverable, not included in this source PR; its 125 packaged core/browser tests passed.
- The opt-in public SDK integration file is **not fully green**: its joined-request journey and runner guard pass, while the existing model-switch/approval-reconfiguration resume regression remains red.
- Final commit preparation passed the normal VS Code pre-commit hygiene hook (181 checked files). Its formatting findings were fixed without changing behavior; protocol braces were corrected in the canonical AHP source and re-synced, not patched in generated copies.

## Public companion drafts

- github/copilot-sdk#2630 — public Node SDK launch authorization and retention.
- microsoft/agent-host-protocol#443 — canonical renderer-neutral canvas contract, including the consumer-hygiene follow-up at `40b27012`.

The compatible runtime change is tracked separately in its existing private repository.

## Remaining WIP gates

- A separately reproduced upstream SDK/runtime resume failure can report `Hook processor is not configured` after model selection, disconnect and same-ID resume. A fresh-session path is not a fix.
- The normal-workspace execution route is qualified only for the local macOS arm64 development setup with explicitly selected compatible SDK/runtime artifacts. Other native platforms, built-product enablement and normal dependency-release integration remain gated.
- Real assistive-technology qualification remains outstanding.
- The AHP release/changelog flow and coordinated dependency releases remain separate from this draft.

No private user profiles, credentials, local verification logs, heap dumps, SDK/runtime build artifacts or session documents are included.
",open,2026-09-11T22:10:38Z,2026-09-11T23:15:42Z,,,ulugbekna,True,https://github.com/microsoft/vscode/pull/335902
4510090914,335901,chore: bump @github/copilot to 1.0.84-5,"Automated signed Copilot dependency bump.

- `@github/copilot`: `1.0.84-4` → `1.0.84-5`
- Base: `main` @ `27a1023fe171a64960235c94456ddac92e81414d`
- Opened by [workflow run](https://github.com/microsoft/vscode-engineering/actions/runs/34651638136)

Draft until validation passes. The `sdk-vscode-bump-fix` agent first iterates on Linux PR checks (up to 10 cycles), then on the authoritative full product build (up to 5 cycles).

Each product build triggered for this PR is posted as a comment below with a link.

<details><summary>Published package layout changes</summary>

# Copilot published package layout diff

_Best-effort path comparison from `npm pack --dry-run`; CLI platform paths use representative x64 packages for macOS, Linux, and Windows. Content-only and architecture-specific changes are left to the product build. This is not an availability gate._

## `@github/copilot` 1.0.84-4 → 1.0.84-5

_No published path changes._

## `@github/copilot-darwin-x64` 1.0.84-4 → 1.0.84-5

_No published path changes._

## `@github/copilot-linux-x64` 1.0.84-4 → 1.0.84-5

_No published path changes._

## `@github/copilot-win32-x64` 1.0.84-4 → 1.0.84-5

_No published path changes._
</details>

---

## sdk-vscode-bump-fix status

**Validation stage:** `pr-checks` (cycle 1) — **blocked, escalated**

### SDK+CLI correlation & compatibility
- This is a **CLI-only** bump: `@github/copilot` `1.0.84-4` → `1.0.84-5`; `@github/copilot-sdk` stays `1.0.13` (root + `remote/`). Pins verified; `extensions/copilot` untouched.
- Published package layout diff shows **no path changes** for the CLI or any platform payload — the delta is runtime behavior only (changelog: subagent-launch, streaming-ordering, and sandbox fixes).
- Slack canary insights reference a **different** SDK/CLI pair (`sdk=1.0.14-canary.*`, `cli=1.0.84-canary.77`), so they are not exact-pair evidence; the SDK-compatibility digest shows SDK `1.0.13` is published and consumable, so **no SDK bump is required**. This is a genuine VS Code-side integration signal for the exact pinned pair.

### Root cause (reproduced locally, offline, against the pinned CLI)
- PR checks: every job is green **except** `Linux / Electron`, `macOS / Electron`, `Windows / Electron` — all three fail identically, i.e. one cross-platform Agent Host E2E integration failure, not a compile/hygiene/product-code error (Compile & Hygiene, Electron-Unit, Electron-Smoke, Remote, Browser, CLI, Copilot-Test all pass).
- Reproduced the Agent Host E2E Copilot suite locally in deterministic replay against the installed `1.0.84-5` CLI: **194 passing, 18 pending, 1 failing**.
- The single failure is `Agent Host E2E — Copilot › retained background subagent completes repeated follow-up turns` (`suites/subagentSuite.ts`), an AHP-traffic snapshot mismatch. **Every functional assertion in the test passes** (child/parent turn contents, turn counts, completion states); only the *ordering* of one out-of-band `session/chatAdded` catalog event differs.
- Mechanism: for a **background** subagent, CLI `1.0.84-5` now surfaces the retained subagent chat (VS Code emits `session/chatAdded` via `onDidSpawnChat`) at the later `read_agent` tool-call instead of at the `task` spawn call, within the same parent turn. VS Code faithfully reflects the runtime's new spawn timing; **no VS Code product code is wrong**, and this is not a regression to mask.

### Work completed this cycle
- Confirmed no integration edit is warranted: no packaging/pruning drift (no payload path changes), no API/type migration (full `typecheck`/compile clean; 194/194 other Copilot E2E tests green), and the change is a benign, intentional protocol-timing shift.
- Confirmed the fix is a **committed Agent Host fixture regeneration** only: `providers/__snapshots__/Agent_Host_E2E___Copilot_retained_background_subagent_completes_repeated_follow-up_turns.traffic.ahp.yaml` (move the `session/chatAdded` line from the `task` tool-call block to the `read_agent` block). No other file changes.

### Smallest unresolved human task
- Regenerate that one committed `*.traffic.ahp.yaml` Agent Host fixture (`AGENT_HOST_UPDATE_AHP_SNAPSHOTS=1`) to accept the new background-subagent `session/chatAdded` ordering, then re-push. This workflow is not permitted to regenerate Agent Host fixtures, and a harness ""normalization"" would wrongly mask a deliberately-retained catalog-event signal — hence escalation rather than an edit.

**No integration changes were pushed** (none are correct for this bump). PR left as draft.

> [!WARNING]
> <details>
> <summary>Firewall blocked 1 domain</summary>
>
> The following domain was blocked by the firewall during workflow execution:
>
> - `github.com`
>
> To allow these domains, add them to the `network.allowed` list in your workflow frontmatter:
>
> ```yaml
> network:
>   allowed:
>     - defaults
>     - ""github.com""
> ```
>
> See [Network Configuration](https://github.github.com/gh-aw/reference/network/) for more information.
>
> </details>

> Generated by [sdk-vscode-bump-fix](https://github.com/microsoft/vscode-engineering/actions/runs/34653722981) · copilot · opus48 · 1K AIC · ⌖ 40.6 AIC · ⊞ 17.6K · [◷](https://github.com/search?q=repo%3Amicrosoft%2Fvscode+%22gh-aw-workflow-call-id%3A+microsoft%2Fvscode-engineering%2Fsdk-vscode-bump-fix%22&type=pullrequests)

<!-- gh-aw-agentic-workflow: sdk-vscode-bump-fix, engine: copilot, model: claude-opus-4.8, id: 34653722981, workflow_id: sdk-vscode-bump-fix, run: https://github.com/microsoft/vscode-engineering/actions/runs/34653722981 -->",open,2026-09-11T22:10:01Z,2026-09-11T23:06:23Z,,,vs-code-engineering[bot],True,https://github.com/microsoft/vscode/pull/335901
