issue_number,title,body,state,created_at,updated_at,closed_at,author,comments_count,labels
335688,/btw message is too transparent,"Testing #335587

repro:

1. send to chat: `/btw say hi` 
2. see new chat come up with this semi transparent message

<img width=""2966"" height=""462"" alt=""Image"" src=""https://github.com/user-attachments/assets/a11c1d8d-b344-45ff-9597-a09e42f9cd2d"" />

Version: 1.138.0-insider (Universal)
Commit: 7b7e49c83affacfac726040280da69b4999f3e01
Date: 2026-09-11T02:16:56Z
Electron: 42.10.0
ElectronBuildId: 15109253
Chromium: 148.0.7778.280
Node.js: 24.18.1
V8: 14.8.178.38-electron.0
@github/copilot: 1.0.84-4
@github/copilot-sdk: 1.0.13
OS: Darwin arm64 25.6.0",open,2026-09-11 10:26:18+00:00,2026-09-11 10:26:18+00:00,,ulugbekna,0,
335687,"Agent Host downloads Claude SDK 0.3.239 / Claude Code 2.1.239, but Fable 5.1 requires >= 2.1.251","### Environment

- Copilot Chat Extension Version: N/A
  - `code --list-extensions --show-versions | Select-String ""github.copilot""` returns no result.
  - This is using VS Code's Agent Host / Claude Agent integration.
- VS Code Version: 1.136.2
- VS Code Commit: 88e44fa0e00b08f7758b4f6d05632e4fd5e4df6f
- OS: Windows x64
- Feature: Agent Host / Claude Agent
- Selected model: Claude Fable 5.1

### Problem

When starting a Claude Agent session with **Claude Fable 5.1**, VS Code's Agent Host downloads its own Claude Agent SDK into the Agent Host SDK cache, but the downloaded SDK contains **Claude Code 2.1.239**.

The session then immediately fails with the message that this model requires **Claude Code 2.1.251 or later**.

In other words, the same Agent Host path that downloads the Claude runtime downloads a version that is too old for a model already exposed in the model picker.

### Important diagnostic detail

The failing binary is not my system Claude Code installation and not the Anthropic VS Code extension binary.

The process launched by VS Code is:

```text
C:\Users\li\AppData\Roaming\Code\agent-host\sdk-cache\claude\0.3.239\win32-x64\node_modules\@anthropic-ai\claude-agent-sdk-win32-x64\claude.exe
````

That binary reports:

```text
2.1.239 (Claude Code)
```

For comparison, both other Claude Code installations on the machine are already newer:

```text
C:\Users\li\.local\bin\claude.exe
2.1.268 (Claude Code)

C:\Users\li\.vscode\extensions\anthropic.claude-code-2.1.268-win32-x64\resources\native-binary\claude.exe
2.1.268 (Claude Code)
```

So updating Claude Code itself or the Anthropic VS Code extension does not resolve the problem. The failing `2.1.239` binary is a separate copy managed/downloaded by VS Code Agent Host.

I confirmed the actual executable path with:

```powershell
Get-CimInstance Win32_Process |
    Where-Object { $_.Name -eq ""claude.exe"" } |
    Select-Object ProcessId, ParentProcessId, ExecutablePath, CommandLine |
    Format-List
```

### Steps to reproduce

1. Open VS Code Copilot Agent / Claude Agent session on Windows.
2. Select **Claude Fable 5.1**.
3. Start an agent task.
4. VS Code Agent Host downloads/uses Claude Agent SDK `0.3.239` from `%APPDATA%\Code\agent-host\sdk-cache\claude\0.3.239\...`.
5. The bundled `claude.exe` reports version `2.1.239`.
6. The session fails because Fable 5.1 requires Claude Code `2.1.251+`.

### Expected behavior

If Fable 5.1 is available in the model picker, Agent Host should either:

* download/use a Claude Agent SDK whose bundled Claude Code satisfies the model's minimum version requirement; or
* hide/disable the model until the Agent Host runtime is compatible.

Ideally the dependency should be upgraded automatically instead of asking the user to update unrelated system/extension copies of Claude Code.

### Actual behavior

VS Code Agent Host downloads an incompatible runtime itself and then refuses to start the selected model because that runtime is too old.

This makes the error particularly confusing because manually updating every user-visible Claude Code installation has no effect on the Agent Host-managed SDK cache.",open,2026-09-11 10:26:07+00:00,2026-09-11 10:26:07+00:00,,hoshimoe,0,
335686,`automation.created` telemetry does't include how it was created,"Testing #335507

I think it would make sense to have a field `creationSource: 'dialog' | 'import' | 'duplicate' | 'template'`",open,2026-09-11 10:26:07+00:00,2026-09-11 10:26:07+00:00,,benibenj,0,
335685,Plugin icon missing,"Type: <b>Bug</b>

When connecting to a server via Remote-SSH on Windows, the icons for installed extensions are missing from the extensions bar in the left sidebar.

VS Code version: Code 1.137.0 (645f29cc3176500b4b5762ba887cf2a7f0ffdf2c, 2026-09-08T13:43:59-07:00)
OS version: Windows_NT x64 10.0.26200
Modes:
Remote OS version: Linux x64 6.8.0-136-generic

<details>
<summary>System Info</summary>

|Item|Value|
|---|---|
|CPUs|12th Gen Intel(R) Core(TM) i9-12900K (24 x 3187)|
|GPU Status|2d_canvas: enabled<br>GPU0: VENDOR= 0x8086, DEVICE=0x4680 [Intel(R) UHD Graphics 770], DRIVER_VENDOR=Intel, DRIVER_VERSION=32.0.101.7082 *ACTIVE*<br>GPU1: VENDOR= 0x8086, DEVICE=0x4680 [Intel(R) UHD Graphics 770], DRIVER_VERSION=32.0.101.7082<br>GPU2: VENDOR= 0x8086, DEVICE=0x4680 [Intel(R) UHD Graphics 770], DRIVER_VERSION=32.0.101.7082<br>GPU3: VENDOR= 0x1414, DEVICE=0x008c [Microsoft Basic Render Driver], DRIVER_VERSION=10.0.26100.8972<br>Machine model name: <br>Machine model version: <br>direct_rendering_display_compositor: disabled_off_ok<br>gpu_compositing: enabled<br>multiple_raster_threads: enabled_on<br>opengl: enabled_on<br>rasterization: enabled<br>raw_draw: disabled_off_ok<br>skia_graphite: disabled_off<br>trees_in_viz: disabled_off<br>video_decode: enabled<br>video_encode: enabled<br>webgl: enabled<br>webgpu: enabled<br>webnn: disabled_off|
|Load (avg)|undefined|
|Memory (System)|63.75GB (40.89GB free)|
|Process Argv|--crash-reporter-id 3b87bb80-d186-4cdc-8516-3545562ab4bc|
|Screen Reader|no|
|VM|0%|

|Item|Value|
|---|---|
|Remote|SSH: 4_5090|
|OS|Linux x64 6.8.0-136-generic|
|CPUs|Intel(R) Xeon(R) Platinum 8457C (192 x 798)|
|Memory (System)|251.53GB (189.74GB free)|
|VM|0%|
</details><details><summary>Extensions (26)</summary>

Name|Identifier|Author|Version
---|---|---|---
Better Comments|aaron-bond.better-comments|aaron-bond|3.0.2
Auto Rename Tag|formulahendry.auto-rename-tag|formulahendry|0.1.10
Vue 3 Snippets|hollowtree.vue-snippets|hollowtree|1.0.4
Overleaf Workshop|iamhyc.overleaf-workshop|iamhyc|0.15.10
DotENV|mikestead.dotenv|mikestead|1.0.1
Jupyter Keymap|ms-toolsai.jupyter-keymap|ms-toolsai|1.1.2
开发容器|ms-vscode-remote.remote-containers|ms-vscode-remote|0.469.0
Remote - SSH|ms-vscode-remote.remote-ssh|ms-vscode-remote|0.128.0
Remote - SSH: Editing Configuration Files|ms-vscode-remote.remote-ssh-edit|ms-vscode-remote|0.87.0
远程资源管理器|ms-vscode.remote-explorer|ms-vscode|0.5.0
VS Code Speech|ms-vscode.vscode-speech|ms-vscode|0.16.0
Chinese (Simplified, China) language support for VS Code Speech|ms-vscode.vscode-speech-language-pack-zh-cn|ms-vscode|0.5.1
Colorful Comments|parthr2031.colorful-comments|ParthR2031|1.0.0
open in browser|techer.open-in-browser|techer|2.0.0
GitLens — Git supercharged|eamodio.gitlens|eamodio|19.1.0
Rainbow CSV|mechatroner.rainbow-csv|mechatroner|3.24.1
Chinese (Simplified) (简体中文) Language Pack for Visual Studio Code|ms-ceintl.vscode-language-pack-zh-hans|MS-CEINTL|1.131.2026090407
Python Debugger|ms-python.debugpy|ms-python|2026.6.0
Python|ms-python.python|ms-python|2026.4.0
Pylance|ms-python.vscode-pylance|ms-python|2026.3.1
Python Environments|ms-python.vscode-python-envs|ms-python|1.36.0
Codex – OpenAI’s coding agent|openai.chatgpt|openai|26.908.31748
R Syntax|reditorsupport.r-syntax|REditorSupport|0.1.4
Markdown 增强预览|shd101wyy.markdown-preview-enhanced|shd101wyy|0.8.35
WakaTime|wakatime.vscode-wakatime|WakaTime|30.2.1
Markdown All in One|yzhang.markdown-all-in-one|yzhang|3.6.3

</details><details>
<summary>A/B Experiments</summary>

```
vsliv368cf:30146710
binariesv615:30325510
nativeloc1:31344060
dwcopilot:31170013
dwoutputs:31242946
copilot_t_ci:31333650
e5gg6876:31282496
pythonrdcb7:31342333
6518g693:31463988
aj953862:31281341
envsactivate1:31551504
478i5457:31544283
cloudbuttont:31379625
3efgi100_wstrepl:31403338
ec5jj548:31422691
cp_cls_t_966_ss:31526232
4je02754:31466945
8hhj4413:31478653
cp_cls_c_1081:31454833
conptydll_true:31498968
e9c30283:31461165
c9b86496:31447327
ei9d7968:31496641
chat:31457767
8hig5102:31480529
89g7j272:31518289
i2gc6536:31499202
52612955:31516516
ddid_c:31478207
hmra_i5g22:31518061
7df3h592:31512476
cp_cls_t_1082:31535311
logging_enabled_new:31498466
j0d79568:31499440
jb_cp_cls_t_632:31543129
748c7209:31512887
32d76977:31512328
ha629193:31508444
a1ije391_t:31540920
jbcp_cls_pctr_t:31531130
cp_intellij_t_nes:31548657
jf4hg949:31526829
ahp-both-windows:31556933
ihg5j128:31534457
7g2b5551:31542111
nes-ex-cf-euporie-03:31542868
enable_editor_pane_layout:31569726
allow-none:31555437
ac562147:31564510
c7c27ce7:31554789
1h923230:31564177
1532g621_copy:31554320
treatment-23-1:31555779
unuse_dynamic_mcp:31555281
0d8dfbc3:31570291
0c1h4866:31566224
session-archive:31558132
5b8j3302:31564601
mangle-name-treatment:31572634
intellij_nes_preview_t:31580086
multiv2:31574985
2bfb8b39:31576696
outline:31581109
links-treatment:31581630
revealsession_treatment_7ed7e840:31582194
permission_prompt_treatment:1332566
ccr_pr_nudge_control:1319470
vsc_wsm_c:1340633
jidc7660:1370295
1g5a5742:1379227
3aced641:1389836

```

</details>

<!-- generated by issue reporter -->

<img width=""59"" height=""526"" alt=""Image"" src=""https://github.com/user-attachments/assets/cef6d034-b89f-4165-8e64-75ccfce517a3"" />",open,2026-09-11 10:24:51+00:00,2026-09-11 10:25:39+00:00,,zsdadisscy,0,new release
335684,"Right clicking on background within a session should have ""set background option""","Testing #335587

It would be great if setting background worked not only through a new session view.",open,2026-09-11 10:23:13+00:00,2026-09-11 10:23:13+00:00,,ulugbekna,0,
335683,MCP configuration: Show where the server was configured,"Testing #335626

There are various ways to install an MCP server, as a casual user of MCP, I don't know them all. Could the MCP configuration page show how the server was configured and link to that file/place?
- `.vscode/mcp.json` link to open the file
- via a plugin, link to that plugin
- via a global setting e.g. ` ""github.copilot.chat.githubMcpServer.readonly"": true,`


<img width=""932"" height=""638"" alt=""Image"" src=""https://github.com/user-attachments/assets/aa52edd6-9a37-4c51-933d-d07005532193"" />",open,2026-09-11 10:23:03+00:00,2026-09-11 10:23:13+00:00,,aeschli,0,
335682,Fix suggest reopening after Escape from stale inline completion waits,"## Summary
Prevent quick suggestions from reopening after Escape when `editor.quickSuggestions` uses `offWhenInlineCompletions`.

The inline-completion wait can finish during the autorun's synchronous initial execution. Disposing its store at that point happens before `store.add(autorun(...))` registers the observer, leaving a stale subscription that can trigger suggestions again after cancellation.

Use the existing `registerAutorunSelfDisposable` helper and call `reader.dispose()` before both wait-completion paths. This handles initial synchronous completion without registering a leaked observer and disposes it on subsequent completion as well.

Only the suggestion-model lifecycle change is included (one file).

## Validation
- Live investigation on the affected Insiders build observed already-disposed, unowned wait callbacks retriggering suggestions after Escape. A temporary runtime guard blocked 12 stale callbacks and kept the widget dismissed for two seconds.
- After this source change: watch transpilation completed without errors.
- All 8 existing `offWhenInlineCompletions` tests passed, covering empty results, visible inline suggestions, disabled inline suggestions, and model disposal mid-wait.
- Targeted ESLint and pre-commit hygiene passed.",open,2026-09-11 10:22:20+00:00,2026-09-11 10:24:58+00:00,,hediet,0,
335681,Add ability to pin folders in the Project Explorer,"## Description

I would like to request a feature that allows users to pin folders in the Project Explorer (the folder/file view on the left side of VS Code).

This would be especially helpful when working with large workspaces or monorepos, where the Project Explorer can contain many folders and navigating to frequently used folders can become time-consuming.

## Proposed functionality

Allow users to pin a folder in the Project Explorer so that the pinned folder remains easily accessible, regardless of its position in the workspace.

For example, a user could right-click a folder and select:
```
Pin Folder
```
Pinned folders could then be displayed in a dedicated Pinned section at the top of the Project Explorer.

## Use case

When working in a large workspace, developers often work repeatedly with a small number of folders that may be deeply nested or located far apart in the workspace.

Pinning these folders would make it much faster to access frequently used parts of the project without repeatedly scrolling or navigating through the folder hierarchy",open,2026-09-11 10:16:45+00:00,2026-09-11 10:26:24+00:00,,sagartec,0,
335680,Document does not refresh in Markdown Editor,"Type: <b>Bug</b>

A document's content does not automatically refresh in the new Markdown Editor after being modified externally, even in ""Read-Only"" mode.
It does refresh in the classic Text Editor view.

The new Markdown Editor is awesome, by the way.

VS Code version: Code 1.137.0 (645f29cc3176500b4b5762ba887cf2a7f0ffdf2c, 2026-09-08T13:43:59-07:00)
OS version: Linux x64 6.8.0-40-generic snap
Modes:

<details>
<summary>System Info</summary>

|Item|Value|
|---|---|
|CPUs|Intel(R) Core(TM) 7 240H (16 x 1019)|
|GPU Status|2d_canvas: disabled_software<br>GPU0: VENDOR= 0x0000, DEVICE=0x0000<br>Machine model name: <br>Machine model version: <br>direct_rendering_display_compositor: disabled_off_ok<br>gpu_compositing: disabled_software<br>multiple_raster_threads: disabled_off<br>opengl: disabled_off<br>rasterization: disabled_software<br>raw_draw: disabled_off_ok<br>skia_graphite: disabled_off<br>trees_in_viz: disabled_off<br>video_decode: disabled_software<br>video_encode: disabled_software<br>vulkan: disabled_off<br>webgl: disabled_off<br>webgpu: disabled_off<br>webgpu_on_vk_via_gl_interop: disabled_off<br>webnn: disabled_off|
|Load (avg)|1, 1, 1|
|Memory (System)|31.05GB (7.12GB free)|
|Process Argv|--no-sandbox --force-user-env --ozone-platform=x11 --crash-reporter-id 6ef14e89-30d9-4010-88ec-eb444d69a445|
|Screen Reader|no|
|VM|0%|
|DESKTOP_SESSION|ubuntu|
|XDG_CURRENT_DESKTOP|ubuntu:GNOME|
|XDG_SESSION_DESKTOP|ubuntu|
|XDG_SESSION_TYPE|x11|
</details><details><summary>Extensions (15)</summary>

Name|Identifier|Author|Version
---|---|---|---
ESLint|dbaeumer.vscode-eslint|dbaeumer|3.0.34
Git History|donjayamanne.githistory|donjayamanne|0.6.20
GitLens — Git supercharged|eamodio.gitlens|eamodio|19.1.0
EditorConfig|editorconfig.editorconfig|EditorConfig|0.18.2
GLSL Syntax for VS Code|geforcelegend.vscode-glsl|GeForceLegend|0.3.4
Mocha Test Explorer|hbenl.vscode-mocha-test-adapter|hbenl|2.14.4
Test Explorer UI|hbenl.vscode-test-explorer|hbenl|2.22.1
Test Adapter Converter|ms-vscode.test-adapter-converter|ms-vscode|0.2.1
Language Support for Java(TM) by Red Hat|redhat.java|redhat|1.56.0
XML|redhat.vscode-xml|redhat|0.29.3
Gradle for Java|vscjava.vscode-gradle|vscjava|3.18.0
Debugger for Java|vscjava.vscode-java-debug|vscjava|0.59.0
Project Manager for Java|vscjava.vscode-java-dependency|vscjava|0.27.6
Extension Pack for Java|vscjava.vscode-java-pack|vscjava|0.31.1
Maven for Java|vscjava.vscode-maven|vscjava|0.45.3

</details><details>
<summary>A/B Experiments</summary>

```
vsliv368cf:30146710
binariesv615:30325510
nativeloc1:31344060
dwcopilot:31170013
dwoutputs:31242946
copilot_t_ci:31333650
e5gg6876:31282496
pythonrdcb7:31342333
6518g693:31463988
aj953862:31281341
82j33506:31327384
envsactivate1:31551504
cloudbuttont:31379625
3efgi100_wstrepl:31403338
55ia6109:31457054
ec5jj548:31422691
cp_cls_t_966_ss:31526232
4je02754:31466945
c3h7c220:31478652
cp_cls_c_1081:31454833
conptydll_true:31498968
e9c30283:31461165
c9b86496:31447327
ei9d7968:31496641
chat:31457767
8hig5102:31480529
89g7j272:31518289
i2gc6536:31499202
52612955:31516516
ddid_t:31478206
hmra_i5g22:31518061
7df3h592:31512476
cp_cls_t_1082:31535311
logging_enabled_new:31498466
db5d2638:31499441
jb_cp_cls_t_632:31543129
56dj4588:31512888
32d76977:31512328
ha629193:31508444
jh5f2457_c:31540921
jbcp_cls_pctr_t:31531130
cp_intellij_t_nes:31548657
jf4hg949:31526829
ahp-both-windows:31556933
ihg5j128:31534457
7g2b5551:31542111
sandbox-ui-on-2:31543161
enable_editor_pane_layout:31569726
allow-none:31555437
36h42362:31564511
c7c27ce7:31554789
1h923230:31564177
0dg73464:31554319
treatment-23-1:31555779
unuse_dynamic_mcp:31555281
0d8dfbc3:31570291
a1hcc538:31559322
0c1h4866:31566224
vrbsty_fls:31561059
session-archive:31558132
5b8j3302:31564601
mangle-name-treatment:31572634
allow-signed-out:31581176
intellij_nes_preview_t:31580086
multiv2:31574985
2bfb8b39:31576696
unread:31581112
links-treatment:31581630
aw-autom-off:31581692
revealsession_control_7ed7e840:31582193
permission_prompt_treatment:1332566
ccr_pr_nudge_auto_review:1319472
vsc_wsm_c:1340633
eh853263:1370294
h5e14506:1348996
1g5a5742:1379227
3aced641:1389836

```

</details>

<!-- generated by issue reporter -->",open,2026-09-11 10:16:43+00:00,2026-09-11 10:25:41+00:00,,Neptilo,0,"triage-needed, new release"
335679,Partly scrolled away messages feel unnatural with chat image background in Agents,"Testing #335587

The message bubbles can be partly scrolled away and ""hidden"" but since the bubble isn't hidden behind some UI element, it looks just cut off (also my message somehow overlaps with the assistant message giving screen cheese vibes) 

<img width=""2950"" height=""758"" alt=""Image"" src=""https://github.com/user-attachments/assets/0e530e16-39ea-46c5-81b3-555350966146"" />


Version: 1.138.0-insider (Universal)
Commit: 7b7e49c83affacfac726040280da69b4999f3e01
Date: 2026-09-11T02:16:56Z
Electron: 42.10.0
ElectronBuildId: 15109253
Chromium: 148.0.7778.280
Node.js: 24.18.1
V8: 14.8.178.38-electron.0
@github/copilot: 1.0.84-4
@github/copilot-sdk: 1.0.13
OS: Darwin arm64 25.6.0",open,2026-09-11 10:15:32+00:00,2026-09-11 10:22:09+00:00,,ulugbekna,0,
