pr_number,commit_sha,commit_message,author,commit_date
335648,f947f3198814f0802823fdc6c1a2807f9ec8559f,Allow leaving PR comments in agents,alexr00,2026-09-11 08:41:54+00:00
335646,cab36d183f3a960cae4359d962b0b39bb9a5d3ba,"sessions: add filter for empty groups

Add a persisted Sessions list filter that hides empty custom groups and the empty Chats section while preserving groups being renamed. Resetting filters restores empty-group visibility.\n\nCo-authored-by: Copilot <223556219+Copilot@users.noreply.github.com>",sandy081,2026-09-11 08:28:59+00:00
335646,f1ec07bddc2161908816d7a37b258cb20752b98c,"sessions: test empty group rename filtering

Cover the inline rename exception that keeps an empty group visible while empty groups are filtered, and verify it is hidden again after editing ends.\n\nCo-authored-by: Copilot <223556219+Copilot@users.noreply.github.com>",sandy081,2026-09-11 08:42:16+00:00
335641,00c1bd1e901fa496cde70b4baa2e2cfd3742cdfd,fix(microsoft-authentication): persist rejected refresh tokens before retry,gaspardruan,2026-09-11 04:49:16+00:00
335640,4f7e975e2be576c0b963e7c4122d105b830972fc,"Add a third-party Canvas MVP for Copilot agent sessions

Reuse the Copilot runtime Canvas lifecycle and expose local desktop Canvas opening, reopening, and closing through the Integrated Browser.

Co-authored-by: Copilot <223556219+Copilot@users.noreply.github.com>",jruales,2026-09-11 07:41:44+00:00
335637,67b81d11ca92c4c39425f64bc0273c0945fa7875,Update endgame notebook milestones to 1.138.0,github-actions[bot],2026-09-11 07:32:11+00:00
335636,708db6d291f0057b4cc934f83058214ed22d82b6,Bump version to 1.139.0,github-actions[bot],2026-09-11 07:32:10+00:00
335634,4cd3fbb5fab2a1c6c800e0052876c8fb64cf48dd,"Route git linked-worktree files to the correct window (#290708, #299540)

findWindowOnFile matched windows by simple parent-folder containment of
a file's path. Git linked worktrees store their private per-worktree
files (COMMIT_EDITMSG, rebase-merge/git-rebase-todo, etc.) inside the
*main* worktree's .git/worktrees/<name> directory rather than under the
linked worktree's own folder, so such files always resolved to the main
worktree's window instead of the correct linked-worktree window (e.g.
when core.editor is ""code --wait"").

Add findWindowOnGitWorktreeFile, checked before the existing
parent-folder matching: it recognizes .git/worktrees/<name> metadata
paths and, by resolving each candidate window's own .git pointer file,
matches against the full worktree directory path rather than just the
trailing <name> segment, so two unrelated repositories that happen to
share a worktree name cannot be confused with one another. Ordinary
repositories (.git as a directory) and non-worktree files are
unaffected and never trigger the new filesystem read.

Co-Authored-By: Claude Sonnet 5 <noreply@anthropic.com>
Claude-Session: https://claude.ai/code/session_01TzTiUkg9L2rajTg9eb9zxY",D-Majumder,2026-09-11 07:07:01+00:00
335633,95b235c4c9f211ca402b2849b295c6034326a1c0,Agent Host changes for lszomoru/agents-use-worktree-setting,lszomoru,2026-09-11 07:05:52+00:00
335631,cc43774d989234a73006ac1e9ad1c9eb82f0b3f5,"Tighten artifact registration guidance

Replace the location-based framing (""a report written outside the
workspace"") with an eligibility test: register only deliverables the
user requested or standalone results they are clearly likely to reopen,
download, or reuse. Default to no registration, exclude scratch and
intermediate results explicitly, and state that persistence or location
outside the workspace is not an eligibility signal.

Co-authored-by: Copilot <223556219+Copilot@users.noreply.github.com>",bhavyaus,2026-09-11 07:00:03+00:00
