pr_number,commit_sha,commit_message,author,commit_date,has_files
335641,00c1bd1e901fa496cde70b4baa2e2cfd3742cdfd,fix(microsoft-authentication): persist rejected refresh tokens before retry,gaspardruan,2026-09-11T04:49:16Z,True
335618,710dd9860b2cb11d3b7f1fc436f3010e997ae4fd,"fix: keep diff markers out of markdown list prefixes

Fixes #335469",arpankanwer,2026-09-11T03:26:35Z,True
335618,0aa93ee7ebb75e512be9b08811fc1ba9adb25e8b,fix: cover blockquote and empty markers in diff list prefix,arpankanwer,2026-09-11T03:42:06Z,True
335615,dac5d24dc20066af8a0bc7fb694f86c079bfcc09,"fix: re-assert active editor context on workspace trust change

Fixes #335608
Re-observes the active editor when workspace trust changes so File > Save
precondition on activeEditor context re-evaluates without requiring an editor switch.",arpankanwer,2026-09-11T02:49:42Z,True
335613,97031bdb15f84c15721a8119843dec2d72ee208b,Enable session-specific sandbox settings,dileepyavan,2026-09-09T22:03:14Z,True
335613,229facda6b80e0c6415a97dccb1455749b03e519,Merge origin/main into DileepY/333900_1,dileepyavan,2026-09-09T22:18:39Z,True
335613,875dda7707d64e11d65c5264e87ff62146a102a6,Fix Copilot sandbox test launch credentials,dileepyavan,2026-09-09T23:58:39Z,True
335613,b29b5486f9706362c7ba360676f05de2822163b0,Merge branch 'main' into DileepY/333900_1,dileepyavan,2026-09-10T03:01:24Z,True
335613,d756d71913f31c761c723a5a896c73a1b5fe8d5b,fixing session picker state,dileepyavan,2026-09-10T05:53:50Z,True
335613,96bb65f6741ae487e77852301f717054f22e262d,Merge remote-tracking branch 'origin/DileepY/333900_1' into DileepY/333900_1,dileepyavan,2026-09-10T05:54:59Z,True
335613,e07138ad6e5d2bcbd135ce06e762c42d7c1db59c,Use regular sandbox settings for agent host forwarding,dileepyavan,2026-09-10T06:22:48Z,True
335613,66aa71bf796b1604f2e038ecb4ba5af80e5b7ad2,Remove unrelated blank line from sandbox tests,dileepyavan,2026-09-10T06:28:19Z,True
335613,218cfe5c4638a91161d38a883cffe1b03db06112,Merge origin/main into DileepY/333900_1,dileepyavan,2026-09-10T06:38:54Z,True
335613,5b8baa70b70250f1a1518a018b549f25d4353a4b,Keep combined agent host sandbox picker state synchronized,dileepyavan,2026-09-10T06:52:06Z,True
335613,b055b7fd683749310a524d34a527e499ca633516,Preserve metadata for ordinary agent host tool approvals,dileepyavan,2026-09-10T07:09:35Z,True
335613,7d996c0f9f7ad3807d4f9e86c9652b877ea3789c,Fix sandbox policy mock in chat component fixtures,dileepyavan,2026-09-10T07:38:16Z,True
335613,3d21c31ec777f08fbb724d707fe38edf381f3f2c,Refactor and bug fixing,dileepyavan,2026-09-10T23:58:34Z,True
335613,8bfa8be4dbf439e1922de08d1275d222f3b8835b,"Merge origin/main and repair sandbox picker conflict resolutions

Remove duplicated declarations, control flow, and tests from merge resolutions while preserving incoming Agent Host changes.

Co-authored-by: Copilot <223556219+Copilot@users.noreply.github.com>",dileepyavan,2026-09-11T02:16:56Z,True
335613,d1da1e8a5f1a6dfc9b8b9a2701fef3acdbd2d7fd,Merge branch 'main' into DileepY/333900_1,dileepyavan,2026-09-11T03:58:06Z,True
335613,278829869c15ae849e0b0a40ee72c1f5681d04f9,Review comments,dileepyavan,2026-09-11T04:08:20Z,True
335613,88c27ad8477d3a9e9ccd1a999e3b3801a3ba5d55,"Merge remote updates before publishing host OS recovery fix

Co-authored-by: Copilot <223556219+Copilot@users.noreply.github.com>",dileepyavan,2026-09-11T04:09:37Z,True
335613,278088721be7c05e4c5b1c37658d7821cbc2b3a4,"Fix spurious subagent turns after task completion

Resume retained subagents only at user-message or assistant turn-start boundaries, not on late output or usage events. Add a deterministic regression for the extra completed child turn seen in CI.

Co-authored-by: Copilot <223556219+Copilot@users.noreply.github.com>",dileepyavan,2026-09-11T04:19:39Z,True
335613,3f3b6c606a0079b3da4a1aaccaae0cb37e812015,"Remove obsolete AgentHost sandbox smoke test

Co-authored-by: Copilot <223556219+Copilot@users.noreply.github.com>",dileepyavan,2026-09-11T04:23:48Z,True
335613,7e3f2ab3df101e7164125c2dc779e08413554edf,"Fix AgentHost smoke suite setup after sandbox test removal

Pass an empty settings object to the shared setup helper so the remaining local AgentHost smoke tests compile and use default settings.

Co-authored-by: Copilot <223556219+Copilot@users.noreply.github.com>",dileepyavan,2026-09-11T04:30:36Z,True
335613,db6e4862999058cc7f52bf84d8030c7efe644b14,"Keep upstream subagent lifecycle behavior in sandbox PR

Revert the unrelated lifecycle changes from 278088721be and their tests. Preserve main's subagent resumption behavior while retaining the sandbox fixes.

Co-authored-by: Copilot <223556219+Copilot@users.noreply.github.com>",dileepyavan,2026-09-11T05:01:11Z,True
335613,5cf3e2d5554dec936596eda69c81a042f2f741ce,"Remove unrelated whitespace change from sandbox PR

Co-authored-by: Copilot <223556219+Copilot@users.noreply.github.com>",dileepyavan,2026-09-11T05:07:16Z,True
335613,0f6d3e3e2e9d900f4b9c4f663df6554eb82c2417,"Fix sandbox picker host service mocks in component fixtures

Co-authored-by: Copilot <223556219+Copilot@users.noreply.github.com>",dileepyavan,2026-09-11T05:29:57Z,True
335611,5d4074ff71877ff85e500892f5a809a8d1927ead,"chat: reserve pet space outside responses

Use chat list bottom padding for the pet clearance so response rows end with their content while preserving scroll-to-end behavior and persistent-content spacing.

Co-authored-by: Copilot <223556219+Copilot@users.noreply.github.com>",TylerLeonhardt,2026-09-11T02:04:13Z,True
335611,fab6a00479db2ba1e2a59a96c0e280d4e4a0fa21,"chat: scale pet transcript padding

Derive the transcript clearance from the pet scale so Grow and Shrink keep the final response unobstructed without excess space.

Co-authored-by: Copilot <223556219+Copilot@users.noreply.github.com>",TylerLeonhardt,2026-09-11T02:18:37Z,True
335595,df4ac6382b1783b6baec74489776e06b56b92f23,"automations: fix: synchronize restored Cloud model options

Co-authored-by: Copilot <223556219+Copilot@users.noreply.github.com>

Copilot-Session: e4e70d7c-fbe2-487b-a6c5-177af2abae2f",ulugbekna,2026-09-08T09:39:05Z,True
335595,173f1775abaaa5b3612cb1274b4606c206607c45,"automations: fix: preserve canonical Cloud configuration

Co-authored-by: Copilot <223556219+Copilot@users.noreply.github.com>

Copilot-Session: e4e70d7c-fbe2-487b-a6c5-177af2abae2f",ulugbekna,2026-09-08T09:39:08Z,True
335595,deabc94ebcbeee8ec57e35efd0cbb922b4754c0f,"automations: fix: ignore unsupported Cloud permission overrides

Co-authored-by: Copilot <223556219+Copilot@users.noreply.github.com>

Copilot-Session: e4e70d7c-fbe2-487b-a6c5-177af2abae2f",ulugbekna,2026-09-08T09:39:11Z,True
335595,f870ec0dc069dce6c45f32bc5dbcf98116fd429c,"automations: fix: clamp restored CLI approval preferences

Co-authored-by: Copilot <223556219+Copilot@users.noreply.github.com>

Copilot-Session: e4e70d7c-fbe2-487b-a6c5-177af2abae2f",ulugbekna,2026-09-08T09:39:15Z,True
