pr_id,pr_number,title,body,state,created_at,updated_at,closed_at,merged_at,author,draft,html_url
4504113909,335648,Allow leaving PR comments in agents,,open,2026-09-11 08:43:25+00:00,2026-09-11 08:43:32+00:00,,,alexr00,True,https://github.com/microsoft/vscode/pull/335648
4504009896,335646,sessions: add filter for empty groups,"Adds an **Empty Groups** option to the Sessions list filter menu.

When disabled, the list hides empty custom groups and the empty default Chats section. The preference is persisted per profile, reset with the other filters, and an empty group remains visible while it is being renamed so group creation continues to work.

### Validation
- `npm run compile`
- `npm run typecheck-client`
- `npm run valid-layers-check`
- `./scripts/test.sh --run src/vs/sessions/contrib/sessions/test/browser/sessionsList.test.ts` (95 passing)",open,2026-09-11 08:29:14+00:00,2026-09-11 08:43:42+00:00,,,sandy081,False,https://github.com/microsoft/vscode/pull/335646
4503770641,335641,Fix repeated silent authentication failures caused by stale refresh tokens,"Fixes #335639

## Problem

I investigated this after Settings Sync continued to show “Sign in to Sync Settings” following a successful Microsoft sign-in on macOS. Logs showed `createSession` returning a session, followed by `getSessions` returning no sessions after `AADSTS700082`. I can no longer reproduce the original sign-in failure with my real account. Instead, the tests use a simulated account, synthetic tokens, and simulated identity-server responses with the real MSAL library and VS Code authentication code to reproduce the token-cache defect described below. The same regression tests fail on the original code and pass with the proposed fix.

The Microsoft authentication extension's current MSAL dependency can repeatedly reload a rejected refresh token from persisted storage. MSAL removes the token from memory on an `invalid_grant` / `bad_token` response, but does not call the persistence callback on that failure path.

When a rejected family refresh token coexists with a fresh application refresh token for the same account, repeated silent requests keep submitting the family token and failing despite the fresh credential being available.

## Reproduction

See [#335639](https://github.com/microsoft/vscode/issues/335639) for the reproduction steps, expected results before and after the fix, and an auxiliary standalone MSAL reproduction.

## Fix

Persist MSAL's removal of the rejected token before retrying silent authentication once, within the existing PCA sequencer. Apply this to ordinary silent acquisition and ID-token refresh. Broker authentication and unrelated errors keep their existing behavior.

If the persisted cache changed while the request was in flight, reload it instead of writing the failed request's snapshot. This check is not atomic with the subsequent write, so a concurrent update between them can still be overwritten. A concurrent cache change can also exhaust the retry, requiring a subsequent session request.",open,2026-09-11 07:56:05+00:00,2026-09-11 08:01:29+00:00,,,gaspardruan,False,https://github.com/microsoft/vscode/pull/335641
4503680547,335640,[Early POC] Add a third-party Canvas MVP for Copilot agent sessions,"## Summary

Add a desktop MVP for third-party Copilot Canvases using the existing Copilot runtime extension format and VS Code's Integrated Browser, with the normal browser navigation bar left visible.

### Architecture

The Node SDK runs in Agent Host and talks to the Copilot runtime. The runtime discovers compatible extensions, launches their backend processes, and owns their Canvas tools and lifecycle. An extension supplies an HTTP(S) URL, which VS Code renders in the Integrated Browser. This change adds the host/client plumbing and UI; it does not reimplement Canvas execution or modify the runtime.

- Project live SDK Canvas events and snapshots into typed per-chat session metadata, including reopen revisions and unavailable instances.
- Add ownership-validated catalog/open/close operations. Local clients use the management channel; remote clients use capability-gated extension RPCs.
- Reuse existing provisional-chat materialization and dormant-chat resume for direct opening, without synthesizing a prompt or starting a model turn.
- Present local Canvases in transient, ephemeral-storage browser tabs. Hiding a tab does not close the runtime instance; explicit Close Canvas does. Runtime URLs are not persisted as normal browser tabs.
- Add **editor + > Canvas > Open Canvas... / Reopen Canvas... / Close Canvas...**, plus corresponding Chat commands.
- Use a native picker for the runtime catalog, with explicit Refresh and JSON input when an extension declares an input schema. Runtime schema validation remains authoritative.
- Include AI-disabled and new-chat menu gating, accessibility help, tests, and architecture documentation.

### SDK prerequisite

Companion SDK change: https://github.com/github/copilot-sdk/pull/2618.

The current installed Node SDK (1.0.13) does not expose a usable extension-launch callback. The companion SDK draft adds `onExtensionLaunch` and startup registration of the existing runtime launch-provider protocol.

VS Code's `copilotExtensionLaunch.ts` only supplies an executable, the runtime's own bundled bootstrap, and the extension entrypoint. Discovery, permission enforcement, spawning, and termination remain runtime-owned.

Standalone extension loading is enabled only when the SDK advertises `supportsExtensionLaunchProvider`. **This draft does not update the package dependency and will not provide standalone Canvas extensions with the stock SDK.** It needs the companion SDK built locally for testing, then a dependency update after that change ships.

The local demo used `VSCODE_DEV_INJECT_NODE_MODULE_LOOKUP_PATH` with an ignored node-modules overlay pointing `@github/copilot-sdk` at the built sibling SDK checkout. No machine-specific dependency paths or overlay files are committed. Setup details are documented in `src/vs/platform/agentHost/AGENTS.md`.

## Validation performed during implementation

- 320 focused backend tests passed.
- 86 focused UI/presentation/accessibility/terminal tests passed; 45 directly affected tests passed again after the final menu-gating update. These runs overlap and are not additive.
- Core typecheck/editor diagnostics, `npm run valid-layers-check`, and `git diff --check` passed.
- Live OSS validation with the patched SDK: menu opening without a chat turn, actual rendered counter with the standard navigation bar, tab hide/reopen, supported window reload/reopen, and explicit runtime close with server shutdown.
- Fresh-chat model-driven validation: `list_canvas_capabilities`, `open_canvas`, and one approved `invoke_canvas_action` increment completed; the server and assistant both returned count **1**.

## Known limitations / follow-up

- **One restored demo conversation stalls after accepting messages.** This remains unresolved. A fresh conversation in the same profile successfully completed both normal chat and Canvas-tool requests; the restored conversation was preserved for investigation. This draft is not claiming all restore/turn lifecycle cases are ready to ship.
- An earlier raw automation `page.reload()` was followed by aborted browser-navigation notifications. A full app restart and supported **Developer: Reload Window** validation did not reproduce those errors; the raw-reload behavior has not been fixed.
- Desktop/local presentation only. Remote catalog/open/close plumbing exists, but remote Canvas presentation and loopback forwarding are intentionally unsupported.
- Opening from the menu requires an existing local Copilot chat; an uncreated new-chat composer is not implicitly turned into a runtime session.
- App-native Canvas types, installation/import/discovery management UI, and navigation-bar hiding are deferred.
- No privileged page bridge is introduced; Canvas pages remain untrusted browser content.

Kept as a draft to share the architecture and MVP for review before SDK/API stabilization and lifecycle hardening.",open,2026-09-11 07:42:56+00:00,2026-09-11 07:56:56+00:00,,,jruales,True,https://github.com/microsoft/vscode/pull/335640
4503606981,335637,Update endgame notebook milestones to 1.138.0,"Automated milestone update for endgame notebooks.

Updated milestone to 1.138.0 in:
- \`.vscode/notebooks/endgame.github-issues\`
- \`.vscode/notebooks/my-endgame.github-issues\`

Triggered by [workflow run](https://github.com/microsoft/vscode-engineering/actions/runs/34574757247)",open,2026-09-11 07:32:17+00:00,2026-09-11 07:51:29+00:00,,,vs-code-engineering[bot],False,https://github.com/microsoft/vscode/pull/335637
4503606872,335636,Bump version to 1.139.0,"Automated version bump after release branch creation.

1.138.0 → 1.139.0 (copilot → 0.67.0)

**How this bump was generated:**
- `node --experimental-strip-types scripts/vscode-version-bump/bump-version-fields.ts <repo>`

Triggered by [workflow run](https://github.com/microsoft/vscode-engineering/actions/runs/34574757247)",open,2026-09-11 07:32:16+00:00,2026-09-11 07:51:17+00:00,,,vs-code-engineering[bot],False,https://github.com/microsoft/vscode/pull/335636
4503545235,335634,git: route linked-worktree files to the correct window,"Fixes #290708

Related to #299540 (same underlying root cause, reported independently).

## Bug

When multiple VS Code windows are open, one per Git worktree, operations that write into a linked worktree's private Git metadata — such as `git commit` with `core.editor` set to `code --wait`, or a rebase — can open the editor in the main worktree's window instead of the linked worktree's window.

## Root cause

`findWindowOnFile` normally selects a window by checking whether the target file is a child of an open window's folder. Git linked worktrees store their private per-worktree files under the main worktree's `.git/worktrees/<name>/` directory, so those files appear to belong to the main worktree rather than the linked worktree.

## Fix

Recognize Git linked-worktree metadata paths before the existing parent-folder matching and resolve the linked worktree through its `.git` pointer file. The comparison uses the full resolved worktree metadata path so unrelated repositories with the same worktree name cannot be confused.

Ordinary repositories, normal files, non-file URIs, and existing fallback behavior remain unchanged.

## Tests

Added regression coverage for:
- linked-worktree metadata routing to the correct window
- fallback to existing behavior when there is no matching linked-worktree window
- paths that merely resemble Git worktree metadata
- two unrelated repositories using the same worktree name

## Validation

- `git diff --check` — passed
- Node syntax checks on both changed files — passed
- Standalone algorithm verification — 6/6 assertions passed

The repository's actual `windowsFinder.test.ts` suite was not run locally because this environment has Node v22.23.1, while VS Code requires Node v24.18.0. No compatible Node version manager or vendored Node binary was available, so no dependency installation was attempted. CI/maintainer validation is therefore requested for the full test suite.",open,2026-09-11 07:22:59+00:00,2026-09-11 08:25:28+00:00,,,D-Majumder,False,https://github.com/microsoft/vscode/pull/335634
4503432892,335633,Agents - add `sessions.useWorktree` setting to control whether worktree is used for the first session,,closed,2026-09-11 07:06:09+00:00,2026-09-11 07:28:09+00:00,2026-09-11 07:27:15+00:00,2026-09-11 07:27:15+00:00,lszomoru,False,https://github.com/microsoft/vscode/pull/335633
4503396499,335631,Tighten artifact registration guidance,"Updates the `add_artifact_or_reference` tool description, `isArtifact` input description, and first-turn `ARTIFACT_TOOLS_INSTRUCTION` so the model has a clear eligibility test for what to register.

**Problem:** the current text says artifacts are ""notable results you produced beyond ordinary workspace edits, such as a report written outside the workspace."" That makes location the signal, so anything persisted outside the workspace (scratch JSON, run-tracking records, cached data) reads as registrable.

**Change:**
- Register only deliverables the user requested, or standalone results they are clearly likely to reopen, download, or reuse.
- Default to no registration; it's not an inventory of everything saved.
- Explicitly exclude scratch files, caches, logs, intermediate results, and configuration snapshots unless requested.
- State that persistence or location outside the workspace is not an eligibility signal.
- Never create, copy, or relocate a file solely to have something to register.

Prose-only change; all phrases pinned by existing tests are preserved. `artifactServerTools.test.ts` and `chatContributions.test.ts` pass.


cc: @hediet  @vijayupadya",open,2026-09-11 07:00:52+00:00,2026-09-11 08:25:40+00:00,,,bhavyaus,False,https://github.com/microsoft/vscode/pull/335631
4503297676,335628,Add experimental HydraFusion opt-in for Copilot Agent Host,"## Summary
Enable the SDK's temporary HydraFusion opt-in path with one VS Code setting, without adding a separate VS Code rollout gate.

- Add `chat.copilot.hydraFusion.enabled`, **off by default**, tagged preview/experimental/advanced.
- Enable startup-latched experiment defaults with `experiment: { mode: 'startup' }` using treatment `config.chat.copilot.hydraFusion.enabled`; the setting remains off without a treatment, and explicit user settings take precedence.
- Forward that single toggle to the local runtime as both `HYDRAFUSION` and `HYDRAFUSION_ROLLOUT` environment variables, restarting the runtime when changed.
- Preserve SDK experimental mode for create/resume and across approval-mode changes, and expose the temporary `hydrafusion` model without duplicating an existing entry.
- Cover environment overrides, startup configuration, model publication, session options, and settings forwarding in focused tests.",closed,2026-09-11 06:45:52+00:00,2026-09-11 07:58:28+00:00,2026-09-11 07:57:23+00:00,2026-09-11 07:57:23+00:00,bhavyaus,False,https://github.com/microsoft/vscode/pull/335628
