pr_number,commit_sha,commit_message,author,commit_date
335918,adc9092582503ef136344e5d017aa68b3c10c944,Adding slash command to view the effective sandbox policy applied,dileepyavan,2026-09-12T01:00:54Z
335917,c6dfca58e2c67d216560efb4ecf0474b0d42ee2d,deprogram README.md,breck7,2026-09-12T00:40:39Z
335913,1988c1f57736673794b702c276d597b88f72e3c0,"sessions: add background action to chat context menu

Add Set Background to the existing chat context menu when it is opened from transcript dead space, while preserving message-content actions and the existing Sessions/high-contrast gates. Fixes #335684.

Co-authored-by: Copilot <223556219+Copilot@users.noreply.github.com>",TylerLeonhardt,2026-09-11T23:39:51Z
335913,b6b0baa9fe356ec01983066b9e5031d0afd39ce9,"sessions: preserve background context menu actions

Keep Change Background Layout in the existing-session dead-space menu and retain KaTeX Copy Math Source detection for SVG descendants.

Co-authored-by: Copilot <223556219+Copilot@users.noreply.github.com>",TylerLeonhardt,2026-09-11T23:52:31Z
335912,853c1291b284779ca3f4b8ca326caa3717600806,"agentHost: capitalize Agent in SDK download progress

Keep Claude and Codex Agent naming consistent across SDK download progress and the Codex account status. Fixes #335645.

Co-authored-by: Copilot <223556219+Copilot@users.noreply.github.com>",TylerLeonhardt,2026-09-11T23:18:07Z
335911,5806402760ea5049bf598b8dbf2a48ac00b4a837,"sessions: keep side chat origins opaque over backgrounds

Composite side-chat origin surfaces over the opaque session background while preserving plain chat and delegation styling.

Co-authored-by: Copilot <223556219+Copilot@users.noreply.github.com>",TylerLeonhardt,2026-09-11T23:32:31Z
335910,5d9115f5e4060cdb6da43417057d423f554b1ca4,feat: add setup-feed script for npm registry configuration,sbatten,2026-09-11T23:11:34Z
335909,f4d8c7d169db52f501202c3f36b7d45ef5607885,"sessions: open model picker from new chat shortcut

Route the model picker shortcut to the focused Agents window new-chat composer, which is not registered as a standard chat widget.

Fixes #335775

Co-authored-by: Copilot <223556219+Copilot@users.noreply.github.com>",amunger,2026-09-11T22:51:33Z
335905,e1c93cd3616e48fe735b6612b47078b6a1c3f65f,"agentHost: isolate CopilotAgent tests from ambient COPILOT_HOME

Fixes #335887

Co-authored-by: Copilot <223556219+Copilot@users.noreply.github.com>
Copilot-Session: 982e92aa-0c58-4fa5-a59c-8645c6c241f3",kondv,2026-09-11T22:07:40Z
335902,5de6afa81b4e86024054a50febbe122adb30cd38,"canvases: feat: add local canvases to the Agents Window

Add the default-off local canvas preview across Agent Host, the canonical
protocol adapter, Sessions presentation, package authoring and native browser
surfaces. Preserve exact workspace/revision authority, external document data,
canvas-first retention, live source ownership and request-frozen context.

Project genuine joined-SDK requests into chat turns so canvas-originated
requests use visible tool approvals and cancellation. Include regression
coverage, runnable fixtures, launch tooling and the required JavaScript
allowlist entries for source packages that run without transpilation.

Co-authored-by: Copilot <223556219+Copilot@users.noreply.github.com>
Copilot-Session: a069b1a2-65a9-4427-b3fe-6546a3bffc9e",ulugbekna,2026-09-11T22:08:29Z
335901,39076f5a85e1dd680f8a1fa363a57990c21ec7b3,chore: bump @github/copilot to 1.0.84-5,github-actions[bot],2026-09-11T22:09:55Z
335899,6ac7f57aab08d1dd09942c74570f27e5104fa847,"chat: keep subagent progress visible and show models early

## Summary

- Keep late-discovered background agents from remaining generic tools or disappearing into completed-step disclosures, including when a nested worker is still active after its parent finishes.
- Preserve sibling tool content, keyboard focus, and observer cleanup when a completed tool is promoted to the shared subagent pill.
- Show the child's known model at startup rather than waiting for usage or completion. Carry canonical model identity through live progress and restored history so matching models, including BYOK display-name variants, do not produce redundant labels. Preserve Auto routing on configuration-only updates.
- Make synchronous/background progress and navigation parity inspectable with 27 interactive lifecycle fixtures (58 themed variants), using real chat models, pills, child transcripts, and session/chat result links.

## Intended behavior and scope

The clickable pill remains in the response to the request that spawned the child and updates there through startup, follow-ups, and completion. A child first discovered after parent completion is appended to that original response; an existing launch that is reclassified is promoted in place. No pinned activity area or duplicate launch pill is added to later turns. Peer chats and independent sessions retain their structured link presentation.

The separate Autopilot case where task_complete succeeds but the SDK idle/parent turn-complete handoff is missing is not addressed here.

## Validation

- 289 focused cross-layer subagent/background regression tests passed before commit.
- ESLint passed for all 23 changed TypeScript files.
- All 58 themed component captures passed their assertions and disposal checks.
- Browser interaction checks verified pointer/keyboard opening and changing progress in parent and child views, including completed-parent, nested, and retained-worker cases.
- The broader client type check has three previously reproduced SDK baseline errors involving clientInfo and autoTier; no new fixture diagnostics.
- Additional local testing is in progress; this PR is intentionally a draft.

## Manual testing

Start the Component Explorer Server and filter for agent-lifecycle. Compare SynchronousRunning and BackgroundRunning: use Advance Child Progress, click the bordered pill to inspect its live child transcript, advance again, and return with Back to Parent. Also inspect ParentCompleteChildRunning, ChildStartsAfterParentComplete, LateSubagentClassification, RetainedFollowUpLatestTurn, NestedBackgroundChat, and the model-label variants.

Fixes #335638

(Commit message generated by Copilot)

Co-authored-by: Copilot <223556219+Copilot@users.noreply.github.com>",justschen,2026-09-11T21:53:22Z
335899,c9c4d88343abae720c524b027ee329135d53d19d,"test: fix subagent model mock and cover review edge cases

- Provide the model-change event required by subagent observation so the
  client-tool tests no longer throw or leak disposables in full CI runs.
- Verify that identity-only model changes update the existing pill for
  both executing and completed launches with an unchanged display name.
- Protect the leading-subagent focus handoff, including the renderer's
  reserved empty references slot and removal of the completed disclosure.

The existing production refresh and focus paths already handle the two
review scenarios; these tests make those guarantees explicit.

Validation: 238 Electron tests, 237 Chromium tests, and 237 WebKit tests
passed, with one existing skipped test per runner. Formatting and lint
passed for all three changed files.

Co-authored-by: Copilot <223556219+Copilot@users.noreply.github.com>",justschen,2026-09-11T22:23:16Z
335898,39c84fdc42d6e17e89c3f832fb91d9850baa8c9e,[cherry-pick] sessions: improve Remote workspace picker navigation,vs-code-engineering[bot],2026-09-11T21:24:35Z
